Suburb,Offence,Alcohol,2014,2015,2016,2017,2018
Albion Park Rail,Offensive language ,Alcohol Related ,0,1,5,2,0
Albion Park Rail,Offensive language ,Not Alcohol Related ,2,1,1,1,0
Albury,Domestic violence related assault ,Alcohol Related ,10,9,20,13,13
Albury,Domestic violence related assault ,Not Alcohol Related ,24,18,16,18,15
Albury,Non-domestic violence related assault ,Alcohol Related ,83,74,64,69,60
Albury,Non-domestic violence related assault ,Not Alcohol Related ,25,48,41,41,70
Albury,Offensive conduct ,Alcohol Related ,80,65,40,38,38
Albury,Offensive conduct ,Not Alcohol Related ,9,4,7,10,11
Albury,Offensive language ,Alcohol Related ,21,23,8,9,12
Albury,Offensive language ,Not Alcohol Related ,8,7,6,4,8
Aldavilla,Domestic violence related assault ,Alcohol Related ,0,1,0,2,0
Aldavilla,Domestic violence related assault ,Not Alcohol Related ,0,2,0,1,0
Aldavilla,Non-domestic violence related assault ,Alcohol Related ,0,1,0,0,0
Aldavilla,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,1,0
Aldavilla,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Aldavilla,Offensive conduct ,Not Alcohol Related ,0,0,0,0,0
Aldavilla,Offensive language ,Alcohol Related ,0,0,0,0,0
Aldavilla,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Alectown,Domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alectown,Domestic violence related assault ,Not Alcohol Related ,0,0,0,1,0
Alectown,Non-domestic violence related assault ,Alcohol Related ,0,0,0,0,0
Alectown,Non-domestic violence related assault ,Not Alcohol Related ,0,0,0,0,0
Alectown,Offensive conduct ,Alcohol Related ,0,0,0,0,0
Alectown,Offensive conduct ,Not Alcohol Related ,0,1,0,0,0
Alectown,Offensive language ,Alcohol Related ,0,0,0,0,0
Alectown,Offensive language ,Not Alcohol Related ,0,0,0,0,0
Alexandria,Domestic violence related assault ,Alcohol Related ,10,16,3,4,18
Alexandria,Domestic violence related assault ,Not Alcohol Related ,7,19,20,23,13
Alexandria,Non-domestic violence related assault ,Alcohol Related ,13,8,13,20,10
Alexandria,Non-domestic violence related assault ,Not Alcohol Related ,31,38,39,56,45
Alexandria,Offensive conduct ,Alcohol Related ,2,1,0,1,2
Alexandria,Offensive conduct ,Not Alcohol Related ,0,1,1,2,1
Alexandria,Offensive language ,Alcohol Related ,0,0,2,0,0
Alexandria,Offensive language ,Not Alcohol Related ,0,0,2,0,0
Alfords Point,Domestic violence related assault ,Alcohol Related ,1,2,0,1,2
Alfords Point,Domestic violence related assault ,Not Alcohol Related ,2,9,3,1,4
Alfords Point,Non-domestic violence related assault ,Alcohol Related ,0,0,0,1,0
Alfords Point,Non-domestic violence related assault ,Not Alcohol Related ,1,1,1,5,0
